,Organization Name,Organization Name URL,City,State,Country
1,Loadshare Networks,https://www.crunchbase.com/organization/loadshare-networks,Bengaluru, Karnataka,India
6,Locus.sh,https://www.crunchbase.com/organization/locus-sh,Bangalore, Karnataka,India
17,CartonCloud,https://www.crunchbase.com/organization/carton-cloud,Gold Coast, Queensland,Australia
20,Ripplr,https://www.crunchbase.com/organization/ripplr,Bengaluru, Karnataka,India
25,Ofload,https://www.crunchbase.com/organization/ofload,Sydney, New South Wales,Australia
31,Best Beer Japan,https://www.crunchbase.com/organization/best-beer-japan,Tokyo, Tokyo,Japan
35,Aerchain,https://www.crunchbase.com/organization/aerchain,Bengaluru, Karnataka,India
42,Yunmanman,https://www.crunchbase.com/organization/yunmanman,Nanjing, Jiangsu,China
56,Hakuna Matata Solutions,https://www.crunchbase.com/organization/hakuna-matata-solutions,Chennai, Tamil Nadu,India
62,Feiliu,https://www.crunchbase.com/organization/feiliu-tech,Shanghai, Shanghai,China
63,teTra aviation,https://www.crunchbase.com/organization/tetra-aviation,Tokyo, Tokyo,Japan
79,Logikura,https://www.crunchbase.com/organization/logikura,Tokyo, Tokyo,Japan
83,Waytous,https://www.crunchbase.com/organization/waytous,Qingdao, Fujian,China
85,Qianhai Yueshi Information Technology,https://www.crunchbase.com/organization/qianhai-yueshi-information-technology,Shenzhen, Guangdong,China
87,Freight Exchange Pty Ltd,https://www.crunchbase.com/organization/freight-exchange-pty-ltd,Sydney, New South Wales,Australia
95,Elixia Tech Solutions,https://www.crunchbase.com/organization/elixia-tech-solutions,Mumbai, Maharashtra,India
99,Nivaata Systems Pvt Ltd,https://www.crunchbase.com/organization/nivaata-systems-pvt-ltd,Bangalore, Karnataka,India
100,Eka Software Solutions,https://www.crunchbase.com/organization/eka-software-solutions,Bangalore, Karnataka,India
103,207,https://www.crunchbase.com/organization/207,Kami-meguro, Tokyo,Japan
112,Advanced Media,https://www.crunchbase.com/organization/advanced-media,Toshima, Tokyo,Japan
114,AutocloudPro,https://www.crunchbase.com/organization/autocloudpro,Shanghai, Shanghai,China
115,Iobot,https://www.crunchbase.com/organization/iobot,Pune, Maharashtra,India
127,THOK LOGISTICS,https://www.crunchbase.com/organization/thok,Xiamen, Fujian,China
133,One Key Access,https://www.crunchbase.com/organization/one-key-access,Docklands, Victoria,Australia
144,56top.cn,https://www.crunchbase.com/organization/56top-cn,Hangzhou, Zhejiang,China
145,KITOHA,https://www.crunchbase.com/organization/kitoha,Tokyo, Tokyo,Japan
151,Suray,https://www.crunchbase.com/organization/suray,Shanghai, Shanghai,China
152,TechBloom,https://www.crunchbase.com/organization/techbloom,Beijing, Beijing,China
153,Jixingtong,https://www.crunchbase.com/organization/jixingtong,Shanghai, Shanghai,China
163,E-View,https://www.crunchbase.com/organization/e-view-f3f1,Guangzhou, Guangdong,China
168,GEESE,https://www.crunchbase.com/organization/geese,Hangzhou, Zhejiang,China
170,LANQIAO SOFTWARE,https://www.crunchbase.com/organization/lanqiao-software,Guangzhou, Guangdong,China
178,Airship Logistics,https://www.crunchbase.com/organization/airship-logistics,San Juan, Manila,Philippines
180,Anbaohong Wuliu Lianmeng,https://www.crunchbase.com/organization/anbaohong-wuliu-lianmeng,Songjiang, Shanghai,China
181,CTM,https://www.crunchbase.com/organization/ctm-2991,Xuhui, Shanghai,China
184,Carisma,https://www.crunchbase.com/organization/carisma,Brisbane, Queensland,Australia
185,Travel Distribution Systems,https://www.crunchbase.com/organization/travel-distribution-systems,Melbourne, Victoria,Australia
187,Unscrabble Solutions,https://www.crunchbase.com/organization/unscrabble-solutions,Brisbane, Queensland,Australia
194,CargoWise,https://www.crunchbase.com/organization/cargowise,Alexandria, New South Wales,Australia
198,Qikship,https://www.crunchbase.com/organization/qikship,Noida, Uttar Pradesh,India
206,TruckSuvidha,https://www.crunchbase.com/organization/trucksuvidha,Yamunanagar, Haryana,India
211,Axestrack Software Solutions Pvt.Ltd,https://www.crunchbase.com/organization/axestrack-software-solutions,Jaipur, Rajasthan,India
219,Telyport Technologies,https://www.crunchbase.com/organization/telyport-technologies,Bengaluru, Karnataka,India
237,FRETRON,https://www.crunchbase.com/organization/fretron,Gurgaon, Haryana,India
270,ORMAE,https://www.crunchbase.com/organization/ormae,Bengaluru, Karnataka,India
299,Info-X Software Technology Pvt. Ltd.,https://www.crunchbase.com/organization/info-x-software-technology-pvt-ltd,Gurgaon, Haryana,India
310,trackNOW,https://www.crunchbase.com/organization/tracknow,Ahmedabad, Gujarat,India
324,Virtual Control,https://www.crunchbase.com/organization/virtual-control,Sheung Wan, Hong Kong Island,Hong Kong
326,Aasaan,https://www.crunchbase.com/organization/aasaan,Mumbai, Maharashtra,India
337,Streatly,https://www.crunchbase.com/organization/streatly,Mumbai, Maharashtra,India
366,Radaro,https://www.crunchbase.com/organization/radaro,Glen Iris, Victoria,Australia
382,Jaix Logistics Software,https://www.crunchbase.com/organization/jaix-logistics-software,Unley, South Australia,Australia
391,Swivel Software,https://www.crunchbase.com/organization/swivel-software,Sha Tin, New Territories,Hong Kong
392,Myfreight,https://www.crunchbase.com/organization/myfreight,Ringwood, Victoria,Australia
400,Revolo Infotech,https://www.crunchbase.com/organization/revolo-infotech,Mumbai, Maharashtra,India
426,Brevity Software Solutions,https://www.crunchbase.com/organization/brevity-software-solutions-pvt-ltd,Rajkot, Gujarat,India
441,Spingine,https://www.crunchbase.com/organization/spingine-corporation,Cebu City, Cebu City,Philippines
469,LogixGRID,https://www.crunchbase.com/organization/logixgrid,Gurgaon, Haryana,India
479,XShoppy,https://www.crunchbase.com/organization/xshoppy,Shenzhen, Guangdong,China
495,Marlin AI,https://www.crunchbase.com/organization/marlin-ai,Bangalore, Karnataka,India
497,GPSGaadi,https://www.crunchbase.com/organization/gpsgaadi,New Delhi, Delhi,India
501,ScanSKU,https://www.crunchbase.com/organization/scansku,Melbourne, Victoria,Australia
503,iInterchange,https://www.crunchbase.com/organization/iinterchange,Chennai, Tamil Nadu,India
510,Cadence Data Soft Pvt. Ltd.,https://www.crunchbase.com/organization/cadence-data-soft,Pune, Maharashtra,India
512,BrandLink,https://www.crunchbase.com/organization/brandlink,Sydney, New South Wales,Australia
528,SmartBee Intelligence,https://www.crunchbase.com/organization/smartbee-intelligence,Taipei, T'ai-pei,Taiwan
540,Cyberfreight,https://www.crunchbase.com/organization/cyberfreight,Rockdale, New South Wales,Australia
565,Waylar tech,https://www.crunchbase.com/organization/waylar-tech,Ban Pathumwan, Loei,Thailand
569,WinCreate,https://www.crunchbase.com/organization/wincreate,Tokyo, Tokyo,Japan
576,Dynamic Solutions and Advanced Technologies,https://www.crunchbase.com/organization/dynamic-solutions-and-advanced-technologies,Bangkok Metropolis, Krung Thep,Thailand
584,Alliancc Art Group,https://www.crunchbase.com/organization/alliancc-art-group,Shenzhen, Guangdong,China
602,Caesar Software Pvt. Ltd,https://www.crunchbase.com/organization/caesar-software-pvt-ltd,Pune, Maharashtra,India
607,Wisdom Cloud Service,https://www.crunchbase.com/organization/wisdom-cloud-service,Nanjing, Jiangsu,China
619,SAM Computer Systems,https://www.crunchbase.com/organization/sam-computer-systems,Sutherland, New South Wales,Australia
620,QA Chef,https://www.crunchbase.com/organization/qa-chef,Sydney, New South Wales,Australia
624,Domex Technical Information Pvt. Ltd.,https://www.crunchbase.com/organization/domex-technical-information-pvt-ltd-,Mumbai, Maharashtra,India
640,Mash Corporation,https://www.crunchbase.com/organization/mash-corporation,Tokyo, Tokyo,Japan
651,Customer Logic,https://www.crunchbase.com/organization/customer-logic,Armidale, New South Wales,Australia
653,EC Robo,https://www.crunchbase.com/organization/ec-robo,Tokyo, Tokyo,Japan
663,iGateway System,https://www.crunchbase.com/organization/igateway-system,Bangalore, Karnataka,India
673,Intellismart Information technologies Pvt Ltd,https://www.crunchbase.com/organization/intellismart-information-technologies-pvt-ltd,Hyderabad, Andhra Pradesh,India
674,Unitech IT Solutions,https://www.crunchbase.com/organization/unitech-it-solutions,Sydney, New South Wales,Australia
675,Logistics & Convenience,https://www.crunchbase.com/organization/logistics-convenience,Amagasaki, Hyogo,Japan
677,Transmetrics,https://www.crunchbase.com/organization/transport-erp,Nagpur, Maharashtra,India
685,RAMINFO,https://www.crunchbase.com/organization/raminfo,Hyderabad, Andhra Pradesh,India
688,Sakura,https://www.crunchbase.com/organization/sakura,Sakai, Osaka,Japan
722,ValTech,https://www.crunchbase.com/organization/valtech-44b4,Yokohama-shi, Kanagawa,Japan
738,QTCPlus,https://www.crunchbase.com/organization/qtcplus,Bengaluru, Karnataka,India
741,Trimble Mobility Solutions India,https://www.crunchbase.com/organization/trimble-mobility-solutions-india,Pune, Maharashtra,India
754,KYOEI SYSTEM,https://www.crunchbase.com/organization/kyoei-system,Osaka, Osaka,Japan
765,Visichain,https://www.crunchbase.com/organization/visichain,Central, Hong Kong Island,Hong Kong
769,Hitachi Distribution Software,https://www.crunchbase.com/organization/hitachi-distribution-software,Koto, Tokyo,Japan
777,Track Company Bus,https://www.crunchbase.com/organization/track-company-bus,Trivandrum, Kerala,India
782,Technorip Innovations Pvt Ltd,https://www.crunchbase.com/organization/technorip-innovations-pvt-ltd,Kochi, Kerala,India
787,T3EX Global Holdings,https://www.crunchbase.com/organization/t3ex-global,Quarry Bay, Hong Kong Island,Hong Kong
789,Prophit Systems,https://www.crunchbase.com/organization/prophit-systems,Sydney, New South Wales,Australia
803,Casfer Technologies,https://www.crunchbase.com/organization/casfer-technologies,Cuncolim, Goa,India
828,KSL Logistics,https://www.crunchbase.com/organization/ksl-logistics,Gurgaon, Haryana,India
839,Raygain,https://www.crunchbase.com/organization/raygain,Haryana, Haryana,India
854,Original Soft,https://www.crunchbase.com/organization/original-soft,Tokyo, Tokyo,Japan
868,Usac System,https://www.crunchbase.com/organization/usac-system,Tokyo, Tokyo,Japan
873,100M Intelligent,https://www.crunchbase.com/organization/100m-intelligent,Hangzhou, Zhejiang,China
880,Transfocus,https://www.crunchbase.com/organization/transfocus,Parkside, Victoria,Australia
887,UniGPS Solutions,https://www.crunchbase.com/organization/unigps-solutions,Bengaluru, Karnataka,India
946,DIGI,https://www.crunchbase.com/organization/digi-f995,Tokyo, Tokyo,Japan
948,TrydanGo: Last Mile Connectivity,https://www.crunchbase.com/organization/trydango-last-mile-connectivity,New Delhi, Delhi,India
952,Freight Management Software,https://www.crunchbase.com/organization/freight-management-software,Blacktown, New South Wales,Australia
955,Kyouei Information System,https://www.crunchbase.com/organization/kyouei-information-system,Setagaya, Tokyo,Japan
957,KCS,https://www.crunchbase.com/organization/kcs-8a58,Kyoto, Kyoto,Japan
958,IPR,https://www.crunchbase.com/organization/ipr-dcd9,Tachikawa, Tokyo,Japan
962,AND Systems Japan,https://www.crunchbase.com/organization/and-systems-japan,Osaka, Osaka,Japan
964,Ard Sosiyo,https://www.crunchbase.com/organization/ard-sosiyo,Tokyo, Tokyo,Japan
982,SKYCET GROUP LIMITED,https://www.crunchbase.com/organization/skycet-group-limited,Shenzhen, Guangdong,China
983,Fullback,https://www.crunchbase.com/organization/fullback,Yokkaichi, Mie,Japan
990,Tensei Data Net,https://www.crunchbase.com/organization/tensei-data-net,Fukui, Fukui,Japan
