Organization Name,Address
Loadshare Networks,"509, 6th Cross Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095"
Locus.sh,"8th Floor, 167 Fleet Street, LONDON, EC4A 2EA"
Locus.sh,"Mara Labs UG/Orrick, Herrington LL, Heinrich-Heine-Allee 1, 40213 Dusseldorf"
Locus.sh,"Lodha Supremus Opposite Mtnl Off Jvlr, Saki Vihar Road Powai, Saki Vihar Rd, Mumbai, Maharashtra 400072"
Locus.sh,"87-148, 4th Floor, Mayur Greens, 1st Block Koramangala, Bengaluru, Karnataka 560034"
Locus.sh,"CirCO , Building : 222 Dien Bien Phu , ward 7 , District 3 Office No : S07.02"
Locus.sh,"7 TEMASEK BOULEVARD, #12-07 SUNTEC TOWER ONE SINGAPORE (038987)"
Locus.sh,"Suite 217, 691 S Milpitas, Milpitas CA 95035"
Locus.sh,"Menara Prima 5th Floor, Jl. DR. Ide Anak Agung Gde Agung, Kuningan Tim., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940"
CartonCloud,"5/27 Dover Dr, Burleigh Heads QLD 4220"
Ripplr,"Intelligent Retail Pvt Ltd, Maithreyi # 1090/L, 3rd floor 18th cross, Sector 3, HSR Layout, Bengaluru, Karnataka-560102"
Ofload,"175 Pitt Street, Sydney, New South Wales 2000, Australia"
Best Beer Japan,"1-8-7 Honcho, Asaka, Saitama Prefecture 351-0011, Japan"
Aerchain,"Number 7, 6th Cross Road, Dollars Colony Stage 2, Bilekahalli ,Bengaluru, Karnataka 560076, India"
Yunmanman,"Floor 3-5, Building 4, Tianchao Science Park, No. 107-1, Software Avenue, Yuhua
Nanjing, Jiangsu 200335, China"
Hakuna Matata Solutions,"914 Railroad Ave, Tallahassee, FL32310, USA"
Hakuna Matata Solutions,"Tower C,  Ground floor, Ratthatek Meadows, Sholinganallur, Chennai - 600119 "
Hakuna Matata Solutions,"St Kilda Rd Towers, 1 Queens Road, Melbourne VIC 3004, Australia"
Feiliu,"Room 502, Block A, Changtai Plaza, Lane 2889, Jinke Road, Pudong New District, Shanghai, China"
teTra aviation,"Bunkyo-ku, Tokyo"
Logikura,"1105 Stoke Shinjuku, 6-12-7 Nishi-Shinjuku, Shinjuku-ku, Tokyo, 160-0023, Japan"
Waytous,"9th Floor, Shouxiang Technology Building, Haidian District, Beijing"
Waytous,"11th Floor, Xinghe Cococity Business Center, Dongsheng District, Ordos City, Inner Mongolia"
Waytous,"15th Floor, Building B, Building 1, Zhongke R&D City, High-tech Zone, Qingdao"
Qianhai Yueshi Information Technology,"7th Floor, Qianhai Yidu Building, No. 99, Gangcheng Street, Nanshan District, Shenzhen"
Qianhai Yueshi Information Technology,"19th and 20th Floor, Dexin Data Industry Building, Yuhang District, Hangzhou"
Freight Exchange Pty Ltd,"Level 2, 11 York Street, Sydney, New South Wales 2000, Australia"
Elixia Tech Solutions,"715, Neelkanth Corporate Park, Near Vidyavihar Railway Station, Vidyavihar West, Mumbai, Maharashtra 400086, India"
Nivaata Systems Pvt Ltd,"Shreyas Plaza, 4th floor, Number 2012, 100 feet road, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560038, India"
Eka Software Solutions,"Eka Software Solutions, Embassy Tech Village SEZ, Phase II, Aster Building 2A, East Tower, Outer Ring Road, Devarabeesanahalli, Bengaluru, 560103, India"
Eka Software Solutions,"Eka Software Solutions Inc, 230 Park Ave, Floors 3 & 4, New York -10169, USA"
Eka Software Solutions,"Eka Software Solutions Ltd,Dorset House, Regent Park, Kingston Road, Leatherhead, Ashtead, KT22 7PL, UK"
Eka Software Solutions,"Eka Canada Inc, C/o, McMillan LLP, 1700, 421-7th Avenue SW, Calgary, AB T2P 4K9"
Eka Software Solutions,"Eka Software Solutions Sàrl, Georges-Favon 8, 1204 Geneva, Switzerland"
Eka Software Solutions,"Eka CTRM Solutions Pty Ltd, Level 5/185, Victoria Square, Adelaide – 5000, SA, Australia"
Eka Software Solutions,"Sybex Mauritius Limited, C/O CIM Global Business, Les Cascades Building, 33, Edith Cavell Street , Port Louis, Mauritius"
207,"3-16-9 Meguro, Meguro-ku, Tokyo, 153-0063, Japan"
Advanced Media,"2F Kawaramachichuo Bld., 2-3-10 Kawaramachi, Chuo-Ku, Osaka-Shi, Osaka,   541-0048"
Advanced Media,"302 Nissin Bld., 1-25-1 Aoi, Higashi-Ku, Nagoya-Shi, Aichi, 461-0004"
Advanced Media,"5F Minamikindai Bld., 4-2-10 Hakataeki Minami, Hakata-Ku, Fukuoka-shi, Fukuoka, 812-0016"
Advanced Media,"42F Sunshine60, 3-1-1 Higashi Ikebukuro, Toshima-Ku, Tokyo,170-6042"
AutocloudPro,"Room 1095, No. 48, Lane 60, Tongji Road, Baoshan District, Shanghai, Shanghai, Shanghai 200940, CN"
Iobot,"B102 Shreenanda Classic Rahatani, Pune, Maharashtra 411017
India"
THOK LOGISTICS,"Fuyu Rd., Honglu Sub-district, Fuqing City Fuzhou, Fujian, 350300 China"
One Key Access,"34 Village Street, Docklands, Victoria 3008, Australia"
56top.cn,"9th Floor, Economic Park, Alumni Enterprise Headquarters, Building 1, Juhua, Science and Technology Park, Number 6 Longzhou Road, Hangzhou, Zhejiang, China"
KITOHA,"Kume Building 6th Floor, 2-25-5 Kamiosaki, Shinagawa-ku, Tokyo, 141-0021, Japan"
Suray,"Shanghai Surui Information Technology Co., Ltd.: Room 505, Building 12, No. 498, Guoshoujing Road, Pudong New Area, Pudong Software Park, Shanghai"
Suray,"Huzhou Columbus Logistics Technology Co., Ltd.: 2F, Building 2, No. 18, Industrial Road, Wuxing District, Huzhou City"
Suray,"Anhui Columbus Intelligent Technology Co., Ltd.: Balinghu Road, Mingguang Economic Development Zone (Zhancheng New District)"
TechBloom,"Floor T6-3, Han's Plaza, Yizhuang Economic and Technological Development Zone, Beijing"
TechBloom,"Room 01, 6th Floor, Dahongqiao International, Li'an Road, Minhang District, Shanghai"
TechBloom,"Room 903-904, Creative Industry Park, 9-3, East Taihu Road, Xinbei District, Changzhou City, Jiangsu Province"
TechBloom,"Suzhou International Science and Technology Park, No. 328 Xinghu Street, Suzhou Industrial Park, Jiangsu Province"
TechBloom,"Room 4110, Block E, Poly World Trade Center, No. 1022, Xingang East Road, Haizhu District, Guangzhou City, Guangdong Province"
TechBloom,"Zhongguancun Collaborative Innovation Wisdom Park, Baohe Economic and Technological Development Zone, Hefei City, Anhui Province"
Jixingtong,"Block E, 5th Floor, Yongyi Building, 100 Hulan West Road, Baoshan District, Shanghai, 201900, China"
E-View,"Room 1701, Block A, Zhongtai International Plaza, No. 161, Linhe West Road, Tianhe District, Guangzhou, China"
GEESE,"5th Floor, Building 4, Phase 3, China Wisdom Information Industrial Park, 88 Xiangyuan Road, Hangzhou, Gongshu District, China"
Airship Logistics,"Philippines, 226 Ortigas Avenue, San Juan City, Metro Manila, Philippines"
Anbaohong Wuliu Lianmeng,"Room 603, Building 32, No. 258, Xinzhuan Road, Songjiang District, Shanghai
(in Songjiang Park, Caohejing Development Zone), 201612"
Carisma,"34 Parer Place (via Musk Avenue), Z1 The Works, Brisbane, QLD 4059, AU"
Travel Distribution Systems,"Level 1 339 Whitehorse Road, Balwyn, Melbourne, Victoria 3103, Australia"
Unscrabble Solutions,"125 York Street, Sydney, New South Wales 2000, Australia"
CargoWise,"72 O'Riordan St, Alexandria, New South Wales 2015, AU"
Qikship,"Sector 2, Noida, 201301, India"
TruckSuvidha,"Number 171, 2nd floor, Brij Puri Colony, Opposite D.A.V school, Govindpuri Road, Yamunanagar, Haryana 135001, India"
Axestrack Software Solutions Pvt.Ltd,"528, 5th floor, Jaipur Electronic Market, Near Riddhi Siddhi Gopalpura Bypass, Jaipur, Rajasthan – 302018 India"
Telyport Technologies,"158 West 27th, Floor 6, New York, NY 10001, United States"
ORMAE,"8 The Green, Dover, Delaware 19901, US"
ORMAE,"Sharjah Media City Free Zone , Sharjah, Sharjah 99999, AE"
ORMAE,"Akshayanagar , akshayanagar , Bengaluru , Karnataka 560076, IN"
Info-X Software Technology Pvt. Ltd.,"335, Phase II, Udyog Vihar, Gurugram, Haryana-122016"
trackNOW,"B-308, Mondeal Heights, Nr. Hotel Novotel, S. G. Highway, Ahmedabad – 380015, Gujarat, INDIA."
Virtual Control,"Office A, 10/F, 91-97 Jervois Street, Sheung Wan, Hong Kong"
Radaro,"6400 Flying Cloud Dr., Eden Prairie, MN 55344, United States"
Radaro,"1/1501 Malvern Rd, Glen Iris VIC 3146, Australia"
Jaix Logistics Software,"2/129 B26, Unley SA 5061, Australia"
Swivel Software,"Unit 310, Building 16W, No. 16 Science Park West Avenue, HKSTP, Shatin, NT, Hong Kong"
Swivel Software,"Level 14 Hibiya Central Building, 1-2-9 Nishi Shinbashi, Minato-Ku, Tokyo 105-0003 JP  "
Swivel Software,"115 W California Boulevard #1058 Pasadena, CA 91105"
Myfreight,"7133 West 95th Street, Suite 205, Overland Park, KS 66212, United States"
Revolo Infotech,"104, Prospect Chambers, Dr D.N Nagar Road, Fort, CST, Mumbai, Maharashtra 400001, IN"
Brevity Software Solutions,"3rd Floor, Purusharth Plaza,, Near Peoples Bank, Amin Marg, Rajkot, Gujarat 360002, IN"
Spingine,"Unit 3410 Cityland Pasong Tamo Tower 2, 2210 Don Chino Roces Avenue, Makati City"
Spingine,"Francesca Dawn Bldg., No. 24 Orchid Road, Capitol Site, Cebu City Philippines,"
LogixGRID,"S-37, Second Floor, Baani Square, Sector-50, Gurgaon, Haryana 122018"
XShoppy,"4th Floor, Block A, Tongfang Information Port, Langshan Road, Nanshan District, Shenzhen City, Guangdong Province, Shenzhen Sailing Technology Co., Ltd."
Marlin AI,"Benoi Sector, No.21, Singapore 629853"
GPSGaadi,"F-35/3 Pocket B, Okhla Phase II, Okhla Industrial Estate New Delhi, Delhi, 110020"
GPSGaadi,"CRYSTAL IT PARK, INDORE, MADHYA PRADESH, 452020"
ScanSKU,"3 Germay Dr., Ste 4 – 4737, Wilmington DE 19804"
iInterchange,"“VS&B Niketan”, Y–8‚ 9th Street‚ Anna Nagar, Chennai – 600 040‚ India."
Cadence Data Soft Pvt. Ltd.,"E Lake Mary Blvd, Sanford, Florida 32773, US"
Cadence Data Soft Pvt. Ltd.,"La Vida Loka, Pimple Saudagar, Pune 411027, INDIA"
BrandLink,30 Agar Drive Tennancy No. 2 Truganina VIC 3029 Australia
BrandLink,16B Tyrone Pl Erskine Park NSW 2759 Australia
SmartBee Intelligence,"Taipei, Taiwan 104, TW"
Cyberfreight,Unit 8B 443 West Botany Street Rockdale NSW 2216
Cyberfreight,"4th Floor, 33-45 Hurstmere Road Takapuna, Auckland 0622"
Cyberfreight,"750A Chai Chee Road #07-17 Viva Business Park, Singapore 469001"
Waylar tech,"5C 5th Floor, 29/1 Phloen Chit Rd, Lumphini, Pathum Wan, Bangkok 10330"
WinCreate,"3-23-3 Kanda Jimbocho, Chiyoda-ku, Tokyo Maison Chiyoda 7F"
Dynamic Solutions and Advanced Technologies,"898/32B, 19TH FLOOR, Office Tower 2, SV CITY, RAMA 3 ROAD, Bang Pong Pang, YANNAWA, BANGKOK 10120, THAILAND"
Dynamic Solutions and Advanced Technologies,"No: 01, 2nd Floor, Janaki Nagar, Arcot road, Valsaravakkam, CHENNAI 600087 TAMIL NADU, INDIA"
Dynamic Solutions and Advanced Technologies,"B-3-2, BBT One The Towers, Lebuh Batu Nilam 1, Bandar Bukit Tinggi, 41200 Klang, Selangor, Malaysia"
Dynamic Solutions and Advanced Technologies,Prince Sultan Street – Taj Al Sultan Building Jeddah City – Kingdom of Saudi Arabia
Alliancc Art Group,"China, Guangdong Province, Shenzhen, Nanshan, Creative Culture Park"
Caesar Software Pvt. Ltd,"405, SAPTARANG AKASH SOCIETY OPP PHURSUNGI GRAM PANCHAYAT, NEAR SP INFOCITY, PHURSUNGI, HADAPSAR  PUNE MAHARASHTRA INDIA 412308"
Wisdom Cloud Service,"6th Floor, Building 2, No. 170-1, Software Avenue, Yuhuatai District, Nanjing City, Jiangsu Province"
SAM Computer Systems,485 Great South Road Penrose Auckland 1061 New Zealand
QA Chef,"Level 2, 11 York St Sydney, NSW 2000"
Domex Technical Information Pvt. Ltd.,"RF3 Kakad Chambers Annexe, 1st Floor, Annie Besant Road, Next to Poddar Hospital, Worli, Mumbai - 400 018."
Domex Technical Information Pvt. Ltd.,"208 Kaveri Complex , Nungambakkam High Road Nungambakkam, Chennai 600034, INDIA."
Mash Corporation,"Syougyou Bldg. 7F,5-6-10 Toyosaki, Kita-ku, Osaka
531-0072, Japan"
Mash Corporation,"Nihonkochiku 2 Bldg. 5F, 2-7-15 Hamamatsu-cho, Minato-ku, Tokyo
105-0013, Japan"
Customer Logic,"4 CHALLENGE CT SUNSHINE BEACH, QUEENSLAND, 4567 Australia"
EC Robo,"3F, 2-9-8, Akebono, Chiba, 277-0841, Japan"
iGateway System,"No36 & 37, Vijay Nivas Vinayaka Layout, Uttarahalli Bangalore-560 061. INDIA."
Intellismart Information technologies Pvt Ltd,"SYNO:154,D-501,BACHUPALLY NEVILLE SUNWAY OPUS INT AMEENPOOR, MIYAPUR Hyderabad TG 500049 IN"
Unitech IT Solutions,"140 William Street East Sydney, NSW 2011 PO Box 3222 Parramatta, NSW 2150"
Unitech IT Solutions,"101 Kenny Street Wollongong, NSW 2500 PO Box 1583 Wollongong, NSW 2500"
Logistics & Convenience,"7-1-3 Doicho, Amagasaki-shi, Hyogo 660-0083"
Transmetrics AI,"33 Shar Planina Str. 1303, Sofia, Bulgaria"
Transmetrics AI,"Joop Geesinkweg 901 1114AB Amsterdam, The Netherlands"
Transmetrics,NAGPUR - 440022 INDIA
RAMINFO,"3-225/SH/401, 3rd Floor, Sterling Heights Mahindra Mind Space, Kavuri Hills, GB PET Phase 2 Road, Hyderabad - 500 033."
Sakura,"1 Chikkoyawatamachi, Sakai-ku, Sakai-shi, 590-0901 Nippon Steel Co., Ltd. Shaped Steel Center 2F"
Sakura,"2-11 Takasago, Takaishi City, 592-0001"
Sakura,"3 Shinminato-cho, Izumiotsu-shi, 595-0073"
Sakura,"1555-16 Hamada, Aboshi-ku, Himeji 671-1242"
Sakura,"1-21-22 Jusohonmachi, Yodogawa-ku, Osaka 532-0024 (Sakura Building)"
Sakura,"3-1 Hikarigaoka, Hikari City, Yamaguchi Prefecture 743-0023 (203 in the Software Center)"
ValTech,"6-22-1 Nishi-Shinjuku, Shinjuku-ku, Tokyo Shinjuku Square Tower 3rd floor"
ValTech,"23145 New Taipei City New Store, Alley, Lane 45, 8 tampering, 5th Floor, No. 5"
QTCPlus,"1660, Hope Drive, Santa Clara, California 95054, US"
QTCPlus,"F502, Country Park,  Dattapada Road, Borivali (E), Mumbai, Maharashtra 400066, IN"
QTCPlus,"Swancreek CRT, Brampton, Toronto, Ontario L6W 3W8, CA"
QTCPlus,"L29, 2nd A Main, Sector 6, HSR Layout, Bengaluru, Karnataka, 560102 IN"
